"[3205, 3315, 3307, 3170]"
"[664, 677, 695, 652]"
"[2028, 2129, 2146, 2062]"
"[2431, 2508, 2576, 2413]"
"[142, 148, 230, 123]"
"[236, 257, 230, 264]"
"[1762, 1789, 1722, 1828]"
"[1769, 1787, 1722, 1811]"
"[1769, 1789, 1722, 1811]"
"[4004, 4085, 3995, 4032]"
"[381, 412, 350, 456]"
"[398, 412, 227, 436]"
"[679, 755, 674, 718]"
"[687, 755, 674, 705]"
"[2590, 2737, 2752, 2226]"
"[3953, 4052, 3995, 4261]"
"[2102, 2123, 2048, 2186]"
"[9300, 9301, 9200, 9332]"
"[283, 330, 358, 253]"
"[283, 360, 358, 345]"
"[360, 430, 358, 431]"
"[370, 430, 358, 534]"
"[1820, 1919, 1784, 1951]"
"[1835, 1919, 1784, 2044]"
"[1919, 1951, 1938, 1820]"
"[1919, 2044, 1938, 1835]"
"[1951, 2008, 1938, 2029]"
"[2044, 2072, 1938, 2075]"
"[2044, 2075, 2076, 2072]"
"[58, 83, 46, 88]"
"[2155, 2199, 2050, 2239]"
"[2259, 2375, 2312, 2360]"
"[2260, 2315, 2312, 2322]"
"[2315, 2356, 2312, 2370]"
"[2356, 2375, 2312, 2395]"
"[1293, 1347, 1335, 1397]"
"[1347, 1393, 1335, 1397]"
"[1254, 1293, 1335, 1233]"
"[1502, 1569, 1493, 1585]"
"[1569, 1603, 1493, 1702]"
"[1439, 1510, 1454, 1497]"
"[2017, 2068, 2048, 2051]"
"[1375, 1389, 1310, 1496]"
"[1607, 1961, 1335, 1788]"
"[2813, 2849, 2784, 2855]"
"[2843, 2849, 2784, 2974]"
"[2974, 3028, 3085, 2843]"
"[1312, 1333, 1367, 1228]"
"[1333, 1429, 1367, 1383]"
"[1564, 1583, 1515, 1592]"
"[1014, 1089, 1116, 975]"
"[1089, 1176, 1116, 1187]"
"[1187, 1230, 1229, 1176]"
"[2006, 2206, 2146, 2126]"
"[2070, 2189, 2076, 2090]"
"[2075, 2189, 2076, 2270]"
"[1523, 1603, 1493, 1631]"
"[3049, 3108, 3066, 3055]"
"[330, 370, 358, 374]"
"[2374, 2500, 2388, 2363]"
"[2022, 2027, 2053, 1947]"
"[3054, 3122, 3087, 3142]"
"[3122, 3155, 3087, 3142]"
"[3188, 3202, 3087, 3270]"
"[504, 516, 538, 428]"
"[1536, 1595, 1580, 1557]"
"[1595, 1646, 1580, 1679]"
"[3114, 3124, 3052, 3277]"
"[688, 748, 728, 782]"
"[296, 310, 208, 341]"
"[310, 386, 315, 383]"
"[386, 427, 315, 442]"
"[3315, 3350, 3307, 3503]"
"[3350, 3411, 3307, 3431]"
"[585, 618, 662, 594]"
"[317, 405, 315, 395]"
"[4052, 4085, 3995, 4157]"
"[2139, 2154, 2053, 2211]"
"[4126, 4166, 4177, 4077]"
"[2969, 2988, 3087, 2945]"
"[2969, 3054, 3087, 2965]"
"[232, 253, 113, 283]"
"[3827, 3856, 3882, 3797]"
"[650, 698, 728, 705]"
"[698, 766, 728, 737]"
"[3005, 3044, 3052, 2921]"
"[3395, 3398, 3438, 3313]"
"[3395, 3461, 3438, 3393]"
"[1401, 1507, 1437, 1434]"
"[3388, 3398, 3438, 3338]"
"[198, 219, 155, 251]"
"[177, 249, 254, 156]"
"[269, 282, 254, 338]"
"[3028, 3133, 3085, 3117]"
"[1143, 1176, 1116, 1198]"
"[4145, 4172, 4226, 4157]"
"[4145, 4223, 4226, 4175]"
"[1154, 1234, 1146, 1257]"
"[3271, 3384, 3309, 3266]"
"[1361, 1408, 1367, 1413]"
"[1408, 1413, 1493, 1361]"
"[9191, 9300, 9200, 9270]"
"[3231, 3331, 3215, 3281]"
"[2861, 2916, 2948, 2702]"
"[3388, 3450, 3438, 3445]"
"[1898, 1937, 1941, 1840]"
"[1937, 1995, 1941, 2024]"
"[2688, 2787, 2784, 2675]"
"[2543, 2611, 2604, 2612]"
"[365, 498, 461, 373]"
"[1071, 1094, 1137, 955]"
"[914, 1001, 966, 906]"
"[1606, 1665, 1627, 1733]"
"[1552, 1762, 1722, 1441]"
"[9337, 9423, 9326, 9342]"
"[9342, 9423, 9384, 9337]"
"[2505, 2539, 2562, 2428]"
"[1668, 1739, 1690, 1698]"
"[4172, 4236, 4226, 4157]"
"[901, 983, 977, 898]"
"[1724, 1835, 1784, 1742]"
"[1168, 1185, 1137, 1228]"
"[2669, 2769, 2808, 2709]"
"[1322, 1359, 1402, 1248]"
"[2539, 2695, 2562, 2620]"
"[2737, 2768, 2752, 2771]"
"[249, 282, 254, 239]"
"[1014, 1041, 1116, 900]"
"[2768, 2913, 2752, 2953]"
"[1658, 1787, 1722, 1765]"
"[2382, 2441, 2456, 2353]"
"[2441, 2449, 2456, 2353]"
"[354, 411, 446, 323]"
