NAME,X,Y,X-scaled,Y-scaled,label,top_level_cell_type,sub_level_cell_type
1,9418,25280,2826,7584,13months-control-replicate_2,SMC,S5
2,9100,25278,2730,7584,13months-control-replicate_2,SMC,S3
3,9538,25277,2862,7584,13months-control-replicate_2,SMC,S3
4,13714,25273,4115,7582,13months-control-replicate_2,Astro,Astro2
5,13840,25265,4152,7580,13months-control-replicate_2,SMC,S3
6,10626,25269,3188,7581,13months-control-replicate_2,Astro,Astro1
7,7352,25260,2206,7578,13months-control-replicate_2,Astro,Astro1
8,9309,25250,2793,7575,13months-control-replicate_2,SMC,S3
9,13910,25237,4173,7572,13months-control-replicate_2,SMC,S3
10,11568,25236,3471,7571,13months-control-replicate_2,Endo,Endo2
11,11670,25229,3501,7569,13months-control-replicate_2,Micro,Micro2
12,9562,25223,2869,7567,13months-control-replicate_2,SMC,S3
13,14060,25218,4218,7566,13months-control-replicate_2,SMC,S3
14,3409,25225,1023,7568,13months-control-replicate_2,Inh,Vip
15,14156,25219,4247,7566,13months-control-replicate_2,SMC,S3
16,9770,25211,2931,7564,13months-control-replicate_2,Astro,Astro3
17,7267,25206,2180,7562,13months-control-replicate_2,Inh,Pvalb
18,10936,25192,3281,7558,13months-control-replicate_2,Astro,Astro1
19,2712,25192,814,7558,13months-control-replicate_2,CTX-Ex,CTX-Ex1
20,13977,25185,4193,7556,13months-control-replicate_2,SMC,S3
21,12139,25191,3642,7558,13months-control-replicate_2,SMC,S5
22,5560,25179,1668,7554,13months-control-replicate_2,CTX-Ex,CTX-Ex3
23,9460,25179,2838,7554,13months-control-replicate_2,SMC,S5
24,9349,25173,2805,7552,13months-control-replicate_2,SMC,S5
25,7182,25175,2155,7553,13months-control-replicate_2,Oligo,Oligo1
26,14493,25148,4348,7545,13months-control-replicate_2,SMC,S3
27,7482,25160,2245,7548,13months-control-replicate_2,OPC,OPC
28,9704,25154,2912,7547,13months-control-replicate_2,Micro,Micro1
29,14136,25141,4241,7543,13months-control-replicate_2,Endo,Endo1
30,14416,25128,4325,7539,13months-control-replicate_2,SMC,S3
31,3020,25132,906,7540,13months-control-replicate_2,CTX-Ex,CTX-Ex1
32,11451,25130,3436,7539,13months-control-replicate_2,Astro,Astro3
33,5928,25122,1779,7537,13months-control-replicate_2,OPC,OPC
34,13158,25107,3948,7533,13months-control-replicate_2,Inh,Lamp5
35,14345,25093,4304,7528,13months-control-replicate_2,SMC,S4
36,14683,25078,4405,7524,13months-control-replicate_2,SMC,S3
37,14560,25080,4368,7524,13months-control-replicate_2,Astro,Astro2
38,14051,25085,4216,7526,13months-control-replicate_2,Oligo,Oligo1
39,14879,25057,4464,7518,13months-control-replicate_2,SMC,S3
40,5202,25063,1561,7519,13months-control-replicate_2,Endo,Endo3
41,13535,25054,4061,7517,13months-control-replicate_2,Oligo,Oligo1
42,8448,25048,2535,7515,13months-control-replicate_2,Oligo,Oligo1
43,14774,25043,4433,7513,13months-control-replicate_2,SMC,S3
44,3446,25041,1034,7513,13months-control-replicate_2,Inh,Vip
45,12328,25037,3699,7512,13months-control-replicate_2,Astro,Astro1
46,15028,25030,4509,7509,13months-control-replicate_2,SMC,S3
47,4579,25026,1374,7508,13months-control-replicate_2,Micro,Micro2
48,9122,25000,2737,7500,13months-control-replicate_2,Inh,Lamp5
49,11955,24997,3587,7500,13months-control-replicate_2,Astro,Astro2
50,14847,24998,4454,7500,13months-control-replicate_2,SMC,S3
51,5018,24992,1506,7498,13months-control-replicate_2,Endo,Endo1
52,7037,24980,2111,7494,13months-control-replicate_2,Oligo,Oligo1
53,12995,24976,3899,7493,13months-control-replicate_2,Endo,Endo2
54,15126,24971,4538,7492,13months-control-replicate_2,SMC,S3
55,10261,24950,3079,7485,13months-control-replicate_2,SMC,S1
56,15339,24941,4602,7483,13months-control-replicate_2,SMC,S5
57,14991,24940,4498,7482,13months-control-replicate_2,Astro,Astro1
58,12702,24933,3811,7480,13months-control-replicate_2,Astro,Astro1
59,4079,24923,1224,7477,13months-control-replicate_2,CTX-Ex,CTX-Ex2
60,15520,24911,4656,7474,13months-control-replicate_2,SMC,S3
61,5022,24913,1507,7474,13months-control-replicate_2,Endo,Endo1
62,8149,24929,2445,7479,13months-control-replicate_2,CTX-Ex,CTX-Ex2
63,3932,24902,1180,7471,13months-control-replicate_2,Inh,Cnr1
64,5472,24901,1642,7471,13months-control-replicate_2,Astro,Astro2
65,12928,24890,3879,7467,13months-control-replicate_2,Endo,Endo2
66,13862,24889,4159,7467,13months-control-replicate_2,Inh,Lamp5
67,4727,24887,1418,7467,13months-control-replicate_2,OPC,OPC
68,3587,24882,1076,7465,13months-control-replicate_2,Astro,Astro1
69,2806,24881,842,7465,13months-control-replicate_2,CTX-Ex,CTX-Ex2
70,15306,24880,4592,7464,13months-control-replicate_2,SMC,S3
71,15605,24873,4682,7462,13months-control-replicate_2,SMC,S3
72,15429,24878,4629,7464,13months-control-replicate_2,SMC,S3
73,11080,24871,3324,7462,13months-control-replicate_2,Astro,Astro2
74,5037,24845,1511,7454,13months-control-replicate_2,Oligo,Oligo1
75,8739,24836,2622,7451,13months-control-replicate_2,Astro,Astro2
76,9643,24821,2893,7447,13months-control-replicate_2,Endo,Endo1
77,7190,24796,2157,7439,13months-control-replicate_2,Astro,Astro2
78,12536,24795,3761,7439,13months-control-replicate_2,CTX-Ex,CTX-Ex3
79,6314,24786,1895,7436,13months-control-replicate_2,Inh,Sst
80,12393,24783,3718,7435,13months-control-replicate_2,Endo,Endo1
81,2740,24775,822,7433,13months-control-replicate_2,CTX-Ex,CTX-Ex2
82,5475,24764,1643,7430,13months-control-replicate_2,CTX-Ex,CTX-Ex1
83,8826,24750,2648,7425,13months-control-replicate_2,Inh,Cnr1
84,4340,24735,1302,7421,13months-control-replicate_2,CTX-Ex,CTX-Ex2
85,6384,24746,1916,7424,13months-control-replicate_2,CTX-Ex,CTX-Ex2
86,6180,24734,1854,7421,13months-control-replicate_2,Astro,Astro1
87,14483,24732,4345,7420,13months-control-replicate_2,Astro,Astro1
88,8936,24726,2681,7418,13months-control-replicate_2,CTX-Ex,CTX-Ex1
89,4074,24729,1223,7419,13months-control-replicate_2,CTX-Ex,CTX-Ex2
90,11632,24716,3490,7415,13months-control-replicate_2,Endo,Endo1
91,10232,24701,3070,7411,13months-control-replicate_2,SMC,S2
92,2921,24694,877,7409,13months-control-replicate_2,Astro,Astro1
93,9543,24690,2863,7407,13months-control-replicate_2,Endo,Endo1
94,10379,24681,3114,7405,13months-control-replicate_2,SMC,S3
95,9011,24687,2704,7407,13months-control-replicate_2,Astro,Astro1
96,3950,24674,1185,7403,13months-control-replicate_2,CTX-Ex,CTX-Ex1
97,8110,24670,2433,7401,13months-control-replicate_2,Inh,Vip
98,4538,24651,1362,7396,13months-control-replicate_2,Astro,Astro2
99,4266,24647,1280,7395,13months-control-replicate_2,CTX-Ex,CTX-Ex3
100,5190,24648,1557,7395,13months-control-replicate_2,CTX-Ex,CTX-Ex2
101,12828,24644,3849,7394,13months-control-replicate_2,Astro,Astro1
102,4392,24637,1318,7392,13months-control-replicate_2,CTX-Ex,CTX-Ex4
103,7162,24644,2149,7394,13months-control-replicate_2,Endo,Endo1
104,11433,24637,3430,7392,13months-control-replicate_2,Astro,Astro2
105,5296,24635,1589,7391,13months-control-replicate_2,Astro,Astro1
106,6130,24624,1839,7388,13months-control-replicate_2,CTX-Ex,CTX-Ex4
107,5410,24620,1623,7386,13months-control-replicate_2,CTX-Ex,CTX-Ex1
108,13424,24621,4028,7387,13months-control-replicate_2,Astro,Astro1
109,14675,24618,4403,7386,13months-control-replicate_2,Astro,Astro1
110,5766,24618,1730,7386,13months-control-replicate_2,CTX-Ex,CTX-Ex2
111,7242,24601,2173,7381,13months-control-replicate_2,SMC,S1
112,13727,24601,4118,7381,13months-control-replicate_2,Endo,Endo3
113,4620,24606,1386,7382,13months-control-replicate_2,CTX-Ex,CTX-Ex1
114,3854,24599,1157,7380,13months-control-replicate_2,Micro,Micro2
115,6886,24575,2066,7373,13months-control-replicate_2,Endo,Endo1
116,5837,24557,1751,7368,13months-control-replicate_2,CTX-Ex,CTX-Ex1
117,6812,24549,2044,7365,13months-control-replicate_2,CTX-Ex,CTX-Ex2
118,4930,24510,1479,7353,13months-control-replicate_2,Astro,Astro2
119,7838,24515,2352,7355,13months-control-replicate_2,Endo,Endo3
120,6619,24517,1986,7356,13months-control-replicate_2,CTX-Ex,CTX-Ex2
121,4728,24521,1419,7357,13months-control-replicate_2,CTX-Ex,CTX-Ex1
122,9397,24514,2819,7355,13months-control-replicate_2,Inh,Vip
123,4621,24512,1387,7354,13months-control-replicate_2,Endo,Endo1
124,6067,24495,1820,7349,13months-control-replicate_2,CTX-Ex,CTX-Ex1
125,11162,24458,3349,7338,13months-control-replicate_2,Endo,Endo1
126,7311,24482,2194,7345,13months-control-replicate_2,Endo,Endo1
127,6944,24455,2084,7337,13months-control-replicate_2,CTX-Ex,CTX-Ex2
128,6829,24457,2049,7338,13months-control-replicate_2,Endo,Endo1
129,6474,24455,1943,7337,13months-control-replicate_2,Astro,Astro1
130,6703,24462,2011,7339,13months-control-replicate_2,CTX-Ex,CTX-Ex1
131,12880,24436,3864,7331,13months-control-replicate_2,OPC,OPC
132,5498,24447,1650,7335,13months-control-replicate_2,CTX-Ex,CTX-Ex4
133,7065,24440,2120,7332,13months-control-replicate_2,CTX-Ex,CTX-Ex1
134,16276,24435,4883,7331,13months-control-replicate_2,Oligo,Oligo1
135,14362,24427,4309,7329,13months-control-replicate_2,Micro,Micro1
136,10395,24423,3119,7327,13months-control-replicate_2,Endo,Endo2
137,9193,24426,2758,7328,13months-control-replicate_2,CTX-Ex,CTX-Ex2
138,7848,24423,2355,7327,13months-control-replicate_2,CTX-Ex,CTX-Ex2
