"tri_celltype","occurrence_num","rank","meta_p","effect_size_1","effect_size_2","effect_size_3"
"Astro&CA1&CTX-Ex",950,98,0.886536654038209,0.02276,0.03785,0.06005
"Astro&CA1&Endo",7,87,0.886536654038209,0.02276,0.03785,0.06005
"Astro&CA1&Inh",9,80,0.886536654038209,0.02276,0.03785,0.06005
"Astro&CA1&LHb",2,103,0.857949756685654,0.06005,0.000281,0.06005
"Astro&CA1&Oligo",112,93,0.886536654038209,0.02276,0.03785,0.06005
"Astro&CA1&SMC",13,7,0.886536654038209,0.02276,0.03785,0.06005
"Astro&CA2&CTX-Ex",952,100,0.886536654038209,0.02276,0.03785,0.06005
"Astro&CA2&Endo",7,89,0.886536654038209,0.02276,0.03785,0.06005
"Astro&CA2&Inh",10,82,0.886536654038209,0.02276,0.03785,0.06005
"Astro&CA2&LHb",2,105,0.857949756685654,0.06005,0.000281,0.06005
"Astro&CA2&Oligo",109,95,0.886536654038209,0.02276,0.03785,0.06005
"Astro&CA2&SMC",14,9,0.886536654038209,0.02276,0.03785,0.06005
"Astro&CA3&CTX-Ex",950,101,0.886536654038209,0.02276,0.03785,0.06005
"Astro&CA3&Endo",7,90,0.886536654038209,0.02276,0.03785,0.06005
"Astro&CA3&Inh",9,83,0.886536654038209,0.02276,0.03785,0.06005
"Astro&CA3&LHb",2,106,0.857949756685654,0.06005,0.000281,0.06005
"Astro&CA3&Oligo",108,96,0.886536654038209,0.02276,0.03785,0.06005
"Astro&CA3&SMC",13,10,0.886536654038209,0.02276,0.03785,0.06005
"Astro&CTX-Ex&DG",955,99,0.937217059774668,0.02276,0.06005,0.03785
"Astro&CTX-Ex&Endo",1282,86,0.97959675254374,0.07569,0.03785,0.03785
"Astro&CTX-Ex&Inh",1372,79,0.97959675254374,0.07569,0.03785,0.03785
"Astro&CTX-Ex&LHb",951,102,0.914953900855336,0.03785,0.000281,0.03785
"Astro&CTX-Ex&Micro",1064,70,0.937217059774668,0.02276,0.06005,0.03785
"Astro&CTX-Ex&Oligo",1657,92,0.97959675254374,0.07569,0.03785,0.03785
"Astro&CTX-Ex&OPC",1015,75,0.937217059774668,0.02276,0.06005,0.03785
"Astro&CTX-Ex&SMC",1082,6,0.97959675254374,0.07569,0.03785,0.03785
"Astro&DG&Endo",7,88,0.886536654038209,0.02276,0.03785,0.06005
"Astro&DG&Inh",9,81,0.886536654038209,0.02276,0.03785,0.06005
"Astro&DG&LHb",2,104,0.857949756685654,0.06005,0.000281,0.06005
"Astro&DG&Oligo",108,94,0.886536654038209,0.02276,0.03785,0.06005
"Astro&DG&SMC",13,8,0.886536654038209,0.02276,0.03785,0.06005
"Astro&Endo&Inh",32,77,0.97959675254374,0.07569,0.03785,0.03785
"Astro&Endo&LHb",10,91,0.914953900855336,0.03785,0.000281,0.03785
"Astro&Endo&Micro",12,68,0.937217059774668,0.02276,0.06005,0.03785
"Astro&Endo&Oligo",152,85,0.97959675254374,0.07569,0.03785,0.03785
"Astro&Endo&OPC",10,73,0.937217059774668,0.02276,0.06005,0.03785
"Astro&Endo&SMC",32,4,0.97959675254374,0.07569,0.03785,0.03785
"Astro&Inh&LHb",12,84,0.914953900855336,0.03785,0.000281,0.03785
"Astro&Inh&Micro",13,67,0.937217059774668,0.02276,0.06005,0.03785
"Astro&Inh&Oligo",175,78,0.97959675254374,0.07569,0.03785,0.03785
"Astro&Inh&OPC",17,72,0.937217059774668,0.02276,0.06005,0.03785
"Astro&Inh&SMC",32,3,0.97959675254374,0.07569,0.03785,0.03785
"Astro&LHb&Micro",4,71,0.857949756685654,0.06005,0.06005,0.000281
"Astro&LHb&Oligo",127,97,0.914953900855336,0.03785,0.03785,0.000281
"Astro&LHb&OPC",2,76,0.857949756685654,0.06005,0.06005,0.000281
"Astro&LHb&SMC",16,11,0.914953900855336,0.03785,0.03785,0.000281
"Astro&Micro&Oligo",133,69,0.886536654038209,0.02276,0.03785,0.06005
"Astro&Micro&SMC",19,1,0.886536654038209,0.02276,0.03785,0.06005
"Astro&Oligo&SMC",157,5,0.97959675254374,0.07569,0.03785,0.03785
"Astro&OPC&Oligo",122,74,0.886536654038209,0.02276,0.03785,0.06005
"Astro&OPC&SMC",18,2,0.886536654038209,0.02276,0.03785,0.06005
"CA1&CA2&CTX-Ex",699,228,0.822581441926664,0.02276,0.02276,0.06508
"CA1&CA2&Endo",2,203,0.822581441926664,0.02276,0.02276,0.06508
"CA1&CA2&Inh",2,182,0.822581441926664,0.02276,0.02276,0.06508
"CA1&CA2&Oligo",57,218,0.822581441926664,0.02276,0.02276,0.06508
"CA1&CA2&SMC",4,58,0.822581441926664,0.02276,0.02276,0.06508
"CA1&CA3&CTX-Ex",698,229,0.822581441926664,0.02276,0.02276,0.06508
"CA1&CA3&Endo",2,204,0.822581441926664,0.02276,0.02276,0.06508
"CA1&CA3&Inh",2,183,0.822581441926664,0.02276,0.02276,0.06508
"CA1&CA3&Oligo",57,219,0.822581441926664,0.02276,0.02276,0.06508
"CA1&CA3&SMC",4,59,0.822581441926664,0.02276,0.02276,0.06508
"CA1&CTX-Ex&DG",702,227,0.822581441926664,0.02276,0.06508,0.02276
