"","Astro","CA1","CA2","CA3","CTX-Ex","DG","Endo","Inh","LHb","Micro","OPC","Oligo","SMC"
"Astro",0,0,0,0,0,0,1,0,0,0,0,0,1
"CA1",1,0,3,1,1,1,0,2,0,0,0,0,0
"CA2",1,2,5,2,2,2,1,3,3,1,2,0,2
"CA3",0,2,2,2,0,0,0,1,0,1,0,0,0
"CTX-Ex",0,0,1,0,0,0,0,1,1,0,0,0,0
"DG",1,0,1,3,1,2,1,2,2,0,2,0,1
"Endo",0,0,0,0,0,0,0,0,0,0,0,0,0
"Inh",0,1,2,1,0,0,1,2,0,0,0,0,1
"LHb",0,0,1,0,0,0,1,1,1,0,0,0,1
"Micro",0,0,0,0,0,0,0,0,0,0,0,0,0
"OPC",0,0,0,0,0,0,1,0,0,0,0,0,1
"Oligo",0,0,0,0,0,0,0,0,0,0,0,0,0
"SMC",0,0,0,0,0,0,0,0,0,0,0,0,0
