"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2m",1.05308150023528,-0.00630822139636796,0.029923311371161,-0.210812945068893,0.833033236841434,NA
"Aagab",1.03148628077758,-0.00464733360913786,0.0302300783524917,-0.153732105982279,0.87782096877935,NA
"Aak1",1.05436320536332,0.00375272870267378,0.029882654454111,0.125582173713403,0.900062674543146,NA
"Abca2",1.02256797118058,-0.00115200897514931,0.0303532273489142,-0.0379534262339494,0.969724815731047,NA
"Abca7",1.05372477633055,0.0150685487401543,0.0298669688709906,0.504522196585883,0.613894468251523,NA
"Abcc9",1.03127614530216,0.00152452316364397,0.0302193024526811,0.0504486549956323,0.959764864640308,NA
"Abhd17a",1.02536080660541,-0.0006402497232584,0.0303108371477238,-0.0211227990879321,0.983147697908805,NA
"Abhd17b",1.0232109349228,-0.00137602605776022,0.0303442035874024,-0.0453472457695836,0.963830529468767,NA
"Abhd17c",1.04029794099962,-0.0134761732506053,0.0301222951596976,-0.447382019834791,0.654599255672017,NA
"Abhd6",1.09401130521586,-0.00633683985257447,0.0293602263573684,-0.215830756052197,0.829119673421602,0.990160225374644
"Abi1",1.22746678069139,-0.0483027892856589,0.0278149370616413,-1.73657733535812,0.0824618029378577,0.355616525169511
"Abi2",1.14515727881956,-0.0595475288429549,0.0288191642889779,-2.06624759295082,0.0388051070672496,0.200816429073017
"Abi3",1.01934401124492,-0.000665948455615187,0.030399915288511,-0.0219062602410234,0.982522731024253,NA
"Abi3bp",1.15687699135446,0.0419730559965861,0.0284549325267877,1.47507135914212,0.140193359568481,0.521317822107946
"Abl1",1.04932484894975,-0.00463809145031132,0.0299729371306427,-0.154742641006296,0.877024212194058,NA
"Abl2",1.02686412486166,0.00474868431868842,0.0302766001484469,0.156843380544893,0.875368283193794,NA
"Ablim3",1.02449950127815,0.00325541209301431,0.0303147351752545,0.107387119636515,0.914481872456602,NA
"Abr",1.11314285257416,-0.0383692195142906,0.0291796742693256,-1.31492967194035,0.188533539475415,0.619467343990649
"Acan",1.04899386958702,0.0122024025254289,0.0299402061010601,0.407559069040504,0.68359741948319,NA
"Acbd7",1.03148630229987,0.0029208163682183,0.0302130372274243,0.0966740399593815,0.922985256356395,NA
"Ache",1.03116029257302,0.00618498824885544,0.0302104557743563,0.204730054225314,0.837783037852775,NA
"Acsl3",1.03309949692646,-0.00456677409705895,0.0302063883883073,-0.15118570410843,0.879829227136485,NA
