"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2m",1.05308150023528,-0.0269556296672006,0.0744917615211,-0.361860548291174,0.717456242750369,NA
"Aagab",1.03148628077758,0.00420793985860124,0.07452418677792,0.0564640828774259,0.954972107568494,NA
"Aak1",1.05436320536332,0.0128170851871406,0.0735123937309054,0.174352711653738,0.861588275660113,NA
"Abca2",1.02256797118058,0.0095796762542232,0.0747200813092896,0.128207519134916,0.897984749770315,NA
"Abca7",1.05372477633055,0.00249744100806521,0.0737758603002051,0.0338517368405159,0.972995379529922,NA
"Abcc9",1.03127614530216,0.000679667642165816,0.0746354470304032,0.00910649924678483,0.992734165272088,NA
"Abhd17a",1.02536080660541,0.00932659784795524,0.0746245122163774,0.124980352580561,0.900539104737004,NA
"Abhd17b",1.0232109349228,0.000897791940785657,0.0749026050588835,0.0119861243821877,0.990436685401208,NA
"Abhd17c",1.04029794099962,-0.0201364181127937,0.0747845821465464,-0.269258950639515,0.78773041862841,NA
"Abhd6",1.09401130521586,-0.00221729229860153,0.0725171323122112,-0.030576116676199,0.97560758937365,NA
"Abi1",1.22746678069139,-0.00388419882114399,0.0685331063044274,-0.0566762405878728,0.954803100849889,0.981925512506013
"Abi2",1.14515727881956,-0.0244439417634341,0.0714073970634381,-0.342316661419799,0.732112598162574,NA
"Abi3",1.01934401124492,0.0104685106919597,0.0748166915258602,0.139922128050012,0.888721517622321,NA
"Abi3bp",1.15687699135446,0.0324589046028989,0.069776740022418,0.465182302762646,0.641800910994026,NA
"Abl1",1.04932484894975,-0.0139273788363276,0.0743165117585265,-0.187406250734443,0.851342122051705,NA
"Abl2",1.02686412486166,0.00712058735601765,0.0746221847135889,0.0954218558910803,0.923979756794418,NA
"Ablim3",1.02449950127815,-0.00487756984186998,0.0749929164740727,-0.0650404074304311,0.948141827869722,NA
"Abr",1.11314285257416,-0.02827838832811,0.0724908167277928,-0.390096147409912,0.696465451542702,NA
"Acan",1.04899386958702,-0.0172857077992414,0.0744072136944077,-0.232312257656015,0.816295492614608,NA
"Acbd7",1.03148630229987,-0.0112158441578127,0.0748898824829742,-0.149764478003588,0.880950435659254,NA
"Ache",1.03116029257302,0.00851064261025067,0.0744341476726031,0.114337879539973,0.908969955848883,NA
"Acsl3",1.03309949692646,0.00569105022503326,0.0744311800090095,0.0764605669874424,0.939052685085949,NA
"Acsl4",1.07843409821795,-0.00998442062240984,0.0732176927408018,-0.136366228552923,0.891531769956351,NA
"Acsl6",1.03664133039581,0.00435827844641514,0.0743355763653786,0.0586297794341847,0.953246990915941,NA
"Acta2",1.02116912559196,-0.00777046882052266,0.0751837774356815,-0.103352998287033,0.917682814237025,NA
"Actc1",1.02106130545228,0.0156479327900797,0.0746312065553791,0.209670103329608,0.83392516094162,NA
"Actn1",1.01558180605169,-0.00342868139795887,0.0752858775500341,-0.0455421588953414,0.963675171802085,NA
"Actn2",1.02127660870485,0.0114783487054753,0.0747220924277009,0.153613855454883,0.877914211541858,NA
