"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099173","postsynapse organization","16/84","314/28928",0.0509554140127389,17.5480740066727,15.9106011720072,8.32248008778604e-16,1.7385660903385e-12,1.07316190605662e-12,"Arc/Arhgap39/Cnksr2/Cux2/Dgkz/Epha7/Grin2b/Itpka/Lrrk2/Nrp1/Numb/Ppfia2/Ptk2b/Shank1/Shisa6/Stau2",16
"GO:0048167","regulation of synaptic plasticity","17/84","402/28928",0.0422885572139304,14.5633736081497,14.778280644868,2.09737632730727e-15,2.19070957387244e-12,1.35225578997442e-12,"Arc/Atp1a3/Cplx2/Gria1/Grin2b/Itpka/Kcnb1/Ncdn/Neurod2/Nrgn/Ntrk2/Pak1/Ptk2b/Shisa6/Slc8a2/Snap25/Stau2",17
"GO:0060078","regulation of postsynaptic membrane potential","12/84","166/28928",0.072289156626506,24.895008605852,16.6615458166286,6.73910411733923e-14,4.69266283370722e-11,2.89663247148791e-11,"Cux2/Gabra1/Gria1/Grin2b/Hcn1/Kctd12/Lrrk2/Nr3c2/Ppp3ca/Ptk2b/Shank1/Slc8a2",12
"GO:0099003","vesicle-mediated transport in synapse","14/84","317/28928",0.0441640378548896,15.2092534174553,13.7277060038981,4.3068472151182e-13,2.24925095809548e-10,1.38839153645258e-10,"Arc/Btbd9/Cplx1/Cplx2/Hpca/Lrrk2/Napb/Ncdn/Numb/Ppfia2/Ppp3r1/Snap25/Syt5/Tspan7",14
"GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","11/84","166/28928",0.0662650602409639,22.8204245553643,15.2149768792489,2.05709937129164e-12,8.59456117325646e-10,5.30515101017317e-10,"Arc/Cplx1/Hpca/Nbea/Ncdn/Numb/Olfm2/Ppp3r1/Shisa6/Sst/Tspan7",11
"GO:0050807","regulation of synapse organization","14/84","390/28928",0.0358974358974359,12.3623931623932,12.1914102761344,7.01355788573881e-12,2.4418870705514e-09,1.5072997210579e-09,"Arc/Cux2/Epha7/Grin2b/Itpka/Lin7a/Lrrk2/Neurod2/Ntrk2/Numb/Ppfia2/Ptk2b/Snap25/Stau2",14
"GO:0050803","regulation of synapse structure or activity","14/84","398/28928",0.0351758793969849,12.1139028475712,12.048163254676,9.19510910948789e-12,2.74408327567432e-09,1.69383588858987e-09,"Arc/Cux2/Epha7/Grin2b/Itpka/Lin7a/Lrrk2/Neurod2/Ntrk2/Numb/Ppfia2/Ptk2b/Snap25/Stau2",14
"GO:0007612","learning","11/84","206/28928",0.0533980582524272,18.3892741562644,13.516720178574,2.15429158942299e-11,5.387776474112e-09,3.3257041549909e-09,"Arc/Atp1a3/Gria1/Grin2b/Neurod2/Ntrk2/Pak1/Shank1/Slc8a2/Snap25/Tbr1",11
"GO:0031503","protein-containing complex localization","12/84","272/28928",0.0441176470588235,15.1932773109244,12.6917922131198,2.32120575715691e-11,5.387776474112e-09,3.3257041549909e-09,"Anks1b/Arc/Cplx1/Hpca/Kif5a/Nbea/Ncdn/Numb/Olfm2/Ppp3r1/Shisa6/Tspan7",12
"GO:0007611","learning or memory","13/84","356/28928",0.0365168539325843,12.5757089352595,11.8594861924148,3.40270171379256e-11,7.10824388011267e-09,4.38769431515357e-09,"Arc/Atp1a3/Btbd9/Cux2/Gria1/Grin2b/Neurod2/Ntrk2/Pak1/Shank1/Slc8a2/Snap25/Tbr1",13
"GO:0007613","memory","10/84","176/28928",0.0568181818181818,19.5670995670996,13.3330641222533,1.00582624159298e-10,1.77994873586897e-08,1.09870610538384e-08,"Arc/Atp1a3/Btbd9/Cux2/Gria1/Grin2b/Ntrk2/Shank1/Slc8a2/Snap25",10
"GO:0106027","neuron projection organization","9/84","124/28928",0.0725806451612903,24.9953917050691,14.4502673649081,1.02246935521435e-10,1.77994873586897e-08,1.09870610538384e-08,"Arc/Atp1a3/Cux2/Grin2b/Itpka/Lrrk2/Ppfia2/Shank1/Stau2",9
"GO:0006887","exocytosis","13/84","399/28928",0.0325814536340852,11.2204320324621,11.0936899819772,1.3905005694962e-10,1.93042674194422e-08,1.19159142318494e-08,"Cplx1/Cplx2/Kcnb1/Lin7a/Lrrk2/Napb/Nsf/Pak1/Ppfia2/Rasgrp1/Snap25/Syt5/Vsnl1",13
"GO:0007269","neurotransmitter secretion","10/84","182/28928",0.0549450549450549,18.9220303506018,13.0887384454573,1.39902344772072e-10,1.93042674194422e-08,1.19159142318494e-08,"Cplx1/Cplx2/Lin7a/Lrrk2/Napb/Ntrk2/Pak1/Ppfia2/Snap25/Syt5",10
"GO:0099643","signal release from synapse","10/84","182/28928",0.0549450549450549,18.9220303506018,13.0887384454573,1.39902344772072e-10,1.93042674194422e-08,1.19159142318494e-08,"Cplx1/Cplx2/Lin7a/Lrrk2/Napb/Ntrk2/Pak1/Ppfia2/Snap25/Syt5",10
"GO:0050890","cognition","13/84","401/28928",0.0324189526184539,11.1644697779361,11.060950825301,1.47854609244172e-10,1.93042674194422e-08,1.19159142318494e-08,"Arc/Atp1a3/Btbd9/Cux2/Gria1/Grin2b/Neurod2/Ntrk2/Pak1/Shank1/Slc8a2/Snap25/Tbr1",13
"GO:0099565","chemical synaptic transmission, postsynaptic","9/84","135/28928",0.0666666666666667,22.9587301587302,13.800481679834,2.19499328366347e-10,2.47028041578047e-08,1.52482603579203e-08,"Anks1b/Cux2/Gria1/Grin2b/Lrrk2/Ppp3ca/Ptk2b/Shank1/Slc8a2",9
"GO:0016358","dendrite development","12/84","331/28928",0.0362537764350453,12.485110056107,11.3410304829897,2.23274502121407e-10,2.47028041578047e-08,1.52482603579203e-08,"Arc/Cux2/Itpka/Lrrk2/Nrp1/Ntrk2/Numb/Pak1/Ppfia2/Ppp3ca/Shank1/Stau2",12
"GO:0099175","regulation of postsynapse organization","10/84","191/28928",0.0523560209424084,18.0304163550237,12.7433858368632,2.24678448539152e-10,2.47028041578047e-08,1.52482603579203e-08,"Arc/Cux2/Epha7/Grin2b/Itpka/Lrrk2/Numb/Ppfia2/Ptk2b/Stau2",10
"GO:0048813","dendrite morphogenesis","10/84","194/28928",0.0515463917525773,17.7515954835542,12.6334683239864,2.61722185595225e-10,2.73368822854212e-08,1.68741935449553e-08,"Arc/Cux2/Itpka/Lrrk2/Nrp1/Numb/Ppfia2/Ppp3ca/Shank1/Stau2",10
"GO:0002090","regulation of receptor internalization","8/84","95/28928",0.0842105263157895,29.0005012531328,14.7518432838662,3.55812204139984e-10,3.53948425927822e-08,2.18481177980692e-08,"Arc/Hpca/Napb/Ncdn/Nsf/Numb/Ppp3r1/Tspan7",8
"GO:0098815","modulation of excitatory postsynaptic potential","7/84","64/28928",0.109375,37.6666666666667,15.8469890151929,7.32945003438661e-10,6.95964596446984e-08,4.29596951776249e-08,"Cux2/Gria1/Grin2b/Lrrk2/Ptk2b/Shank1/Slc8a2",7
"GO:0010038","response to metal ion","12/84","384/28928",0.03125,10.7619047619048,10.3921728002276,1.20727668160347e-09,1.09652216863897e-07,6.76848482821165e-08,"Atp1a3/Gria1/Hcn1/Hpca/Itpka/Kcnb1/Kcnma1/Lrrk2/Neurod2/Pam/Ppp3ca/Ptk2b",12
"GO:0031623","receptor internalization","9/84","165/28928",0.0545454545454545,18.7844155844156,12.3631197881341,1.30979915367647e-09,1.11772490838306e-07,6.89936264024211e-08,"Arc/Gria1/Hpca/Napb/Ncdn/Nsf/Numb/Ppp3r1/Tspan7",9
"GO:0097061","dendritic spine organization","8/84","112/28928",0.0714285714285714,24.5986394557823,13.5033873601795,1.33763153229184e-09,1.11772490838306e-07,6.89936264024211e-08,"Arc/Cux2/Grin2b/Itpka/Lrrk2/Ppfia2/Shank1/Stau2",8
"GO:0099149","regulation of postsynaptic neurotransmitter receptor internalization","6/84","39/28928",0.153846153846154,52.981684981685,17.5299226365259,1.5104161923594e-09,1.2135613176303e-07,7.49093050866505e-08,"Arc/Hpca/Ncdn/Numb/Ppp3r1/Tspan7",6
"GO:0031644","regulation of nervous system process","9/84","173/28928",0.0520231213872832,17.9157720891825,12.0426423370386,1.98916420484705e-09,1.53902371256499e-07,9.49990702119936e-08,"Cux2/Gria1/Grin2b/Grm3/Lrrk2/Ptk2b/Shank1/Shisa6/Slc8a2",9
"GO:0006836","neurotransmitter transport","10/84","240/28928",0.0416666666666667,14.3492063492063,11.2066169699852,2.06630764006251e-09,1.54161309288949e-07,9.51589044765628e-08,"Cplx1/Cplx2/Lin7a/Lrrk2/Napb/Ntrk2/Pak1/Ppfia2/Snap25/Syt5",10
