"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045211","postsynaptic membrane","21/85","406/28829",0.0517241379310345,17.5430020283976,18.2551539456082,1.5079808112074e-20,1.900369015887e-18,9.14204670657712e-19,"Arc/Cnksr2/Epha7/Gabra1/Gria1/Grin2b/Grm3/Hcn1/Kcnb1/Kcnma1/Kctd12/Lin7a/Lrrc4c/Nbea/Nrgn/Nrp1/Ntrk2/Olfm2/Shank1/Shisa6/Slc8a2",21
"GO:0043197","dendritic spine","18/85","243/28829",0.0740740740740741,25.123311546841,20.535556916299,1.78393148552445e-20,1.900369015887e-18,9.14204670657712e-19,"Anks1b/Arc/Atp1a3/Gabra1/Gria1/Grin2b/Grm3/Hpca/Itpka/Nrgn/Ntrk2/Numb/Ppfia2/Ppp3ca/Ptk2b/Shank1/Shisa6/Slc8a2",18
"GO:0044309","neuron spine","18/85","248/28829",0.0725806451612903,24.6167931688805,20.3119291985448,2.57968644690543e-20,1.900369015887e-18,9.14204670657712e-19,"Anks1b/Arc/Atp1a3/Gabra1/Gria1/Grin2b/Grm3/Hpca/Itpka/Nrgn/Ntrk2/Numb/Ppfia2/Ppp3ca/Ptk2b/Shank1/Shisa6/Slc8a2",18
"GO:0014069","postsynaptic density","20/85","463/28829",0.0431965442764579,14.6507432346589,16.1024092968341,4.65602531428129e-18,2.57245398614041e-16,1.23752251774318e-16,"Anks1b/Arc/Cnksr2/Dgkz/Epha7/Gria1/Grin2b/Grm3/Hnrnpa3/Lin7a/Lrrc4c/Nr3c2/Ntrk2/Numb/Olfm2/Pak1/Ptk2b/Shank1/Shisa6/Slc8a2",20
"GO:0032279","asymmetric synapse","20/85","487/28829",0.0410677618069815,13.9287353545114,15.6476238242816,1.23964082913812e-17,5.47921246479051e-16,2.63586786827264e-16,"Anks1b/Arc/Cnksr2/Dgkz/Epha7/Gria1/Grin2b/Grm3/Hnrnpa3/Lin7a/Lrrc4c/Nr3c2/Ntrk2/Numb/Olfm2/Pak1/Ptk2b/Shank1/Shisa6/Slc8a2",20
"GO:0048786","presynaptic active zone","11/85","143/28829",0.0769230769230769,26.089592760181,16.355723171435,4.72043257463106e-13,1.73869266498911e-11,8.36427526381995e-12,"Gria1/Grin2b/Grm3/Hcn1/Kcnma1/Kctd12/Napb/Nr3c2/Ntrk2/Ppfia2/Snap25",11
"GO:0150034","distal axon","15/85","430/28829",0.0348837209302326,11.8313269493844,12.305732970181,2.19204913236992e-12,6.9206122607679e-11,3.32927762961447e-11,"Atp1a3/Cplx1/Cplx2/Grin2b/Hcn1/Kcnma1/Kif5a/Lrrk2/Nrp1/Ntrk2/Pak1/Pcdh9/Ptk2b/Slc8a2/Snap25",15
"GO:0099634","postsynaptic specialization membrane","11/85","200/28829",0.055,18.6540588235294,13.6238419060706,1.8528523985956e-11,5.11850475112035e-10,2.46234331918626e-10,"Arc/Cnksr2/Epha7/Gabra1/Gria1/Grin2b/Kcnb1/Lin7a/Lrrc4c/Olfm2/Shisa6",11
"GO:0098685","Schaffer collateral - CA1 synapse","9/85","151/28829",0.0596026490066225,20.2151149201402,12.8736040373897,6.8443641654188e-10,1.68067164506395e-08,8.08515532990992e-09,"Anks1b/Cplx1/Dgkz/Epha7/Lrrc4c/Ppp3ca/Ppp3r1/Ptk2b/Shank1",9
"GO:0098839","postsynaptic density membrane","9/85","158/28829",0.0569620253164557,19.3195085629188,12.5563687017469,1.02326100388237e-09,2.26140681858004e-08,1.08788801465389e-08,"Arc/Cnksr2/Epha7/Gria1/Grin2b/Lin7a/Lrrc4c/Olfm2/Shisa6",9
