"tri_celltype","occurrence_num","rank","meta_p","effect_size_1","effect_size_2","effect_size_3"
"Astro&CA1&CTX-Ex",950,98,4.40461889226488e-17,0.2057,0.1518,0.1247
"Astro&CA1&Endo",7,87,1.11537867728135e-25,0.2007,0.1485,0.1269
"Astro&CA1&Inh",9,80,3.43324906618672e-44,0.1951,0.1445,0.1283
"Astro&CA1&LHb",2,103,3.99197237743333e-209,0.18,0.1305,0.1237
"Astro&CA1&Oligo",112,93,1.018003775269e-19,0.2039,0.1507,0.1257
"Astro&CA1&SMC",13,7,6.60992637616526e-11,0.1153,0.08791,0.1434
"Astro&CA2&CTX-Ex",952,100,1.361011417023e-18,0.2073,0.1515,0.1256
"Astro&CA2&Endo",7,89,8.26067695999043e-29,0.2022,0.1481,0.1278
"Astro&CA2&Inh",10,82,4.10008593374694e-51,0.1965,0.1441,0.1292
"Astro&CA2&LHb",2,105,0,0.1814,0.1301,0.1246
"Astro&CA2&Oligo",109,95,1.18971040378635e-21,0.2054,0.1503,0.1266
"Astro&CA2&SMC",14,9,2.14595038591036e-10,0.1156,0.0872,0.1441
"Astro&CA3&CTX-Ex",950,101,4.4240661100312e-19,0.2077,0.1513,0.1258
"Astro&CA3&Endo",7,90,5.7126133544375e-30,0.2026,0.1479,0.128
"Astro&CA3&Inh",9,83,8.58537942229483e-54,0.197,0.1439,0.1294
"Astro&CA3&LHb",2,106,0,0.1818,0.1299,0.1248
"Astro&CA3&Oligo",108,96,1.71737057220719e-22,0.2059,0.1502,0.1268
"Astro&CA3&SMC",13,10,2.62863758604645e-10,0.1157,0.08684,0.1442
"Astro&CTX-Ex&DG",955,99,6.58479482790006e-18,0.2067,0.1253,0.1517
"Astro&CTX-Ex&Endo",1282,86,0,0.2374,0.1486,0.1538
"Astro&CTX-Ex&Inh",1372,79,1.665067843815e-120,0.2308,0.1446,0.155
"Astro&CTX-Ex&LHb",951,102,2.63112867839725e-29,0.2146,0.1307,0.1512
"Astro&CTX-Ex&Micro",1064,70,3.09525373859873e-05,0.1701,0.1023,0.1565
"Astro&CTX-Ex&Oligo",1657,92,0,0.2413,0.1508,0.1528
"Astro&CTX-Ex&OPC",1015,75,2.10709853773251e-07,0.1843,0.1119,0.1557
"Astro&CTX-Ex&SMC",1082,6,1.45388142441786e-05,0.1349,0.08826,0.1674
"Astro&DG&Endo",7,88,1.5664170443782e-27,0.2016,0.1483,0.1275
"Astro&DG&Inh",9,81,9.00520441192433e-48,0.196,0.1443,0.1289
"Astro&DG&LHb",2,104,2.47872843705173e-266,0.1808,0.1303,0.1243
"Astro&DG&Oligo",108,94,6.38101276554642e-21,0.2048,0.1505,0.1263
"Astro&DG&SMC",13,8,9.35956101023426e-11,0.1155,0.08755,0.1438
"Astro&Endo&Inh",32,77,0,0.2241,0.145,0.1502
"Astro&Endo&LHb",10,91,1.17417653897837e-52,0.2092,0.1328,0.1478
"Astro&Endo&Micro",12,68,6.40268643769299e-06,0.165,0.1028,0.1518
"Astro&Endo&Oligo",152,85,0,0.2348,0.152,0.1488
"Astro&Endo&OPC",10,73,7.49669896950829e-09,0.1788,0.1123,0.1509
"Astro&Endo&SMC",32,4,2.64350898368615e-06,0.1316,0.08898,0.1631
"Astro&Inh&LHb",12,84,1.31910989839323e-124,0.2034,0.1341,0.1437
"Astro&Inh&Micro",13,67,8.82665162389623e-07,0.1597,0.103,0.1468
"Astro&Inh&Oligo",175,78,4.38823473751347e-183,0.2282,0.1532,0.1448
"Astro&Inh&OPC",17,72,6.01458479339974e-11,0.1731,0.1126,0.1459
"Astro&Inh&SMC",32,3,4.25486515865315e-07,0.128,0.08933,0.1586
"Astro&LHb&Micro",4,71,2.87607506153563e-15,0.149,0.102,0.1367
"Astro&LHb&Oligo",127,97,7.40974023303101e-36,0.2126,0.15,0.1316
"Astro&LHb&OPC",2,76,3.98373577548294e-18,0.1618,0.1117,0.1357
"Astro&LHb&SMC",16,11,2.99346546540746e-09,0.119,0.08648,0.1484
"Astro&Micro&Oligo",133,69,1.8749859604382e-05,0.1682,0.1547,0.1025
"Astro&Micro&SMC",19,1,2.6088628380861e-25,0.09688,0.09005,0.12
"Astro&Oligo&SMC",157,5,8.91940660947344e-06,0.1337,0.08862,0.1658
"Astro&OPC&Oligo",122,74,6.02493291845394e-08,0.1822,0.1539,0.1121
"Astro&OPC&SMC",18,2,4.2548573293489e-18,0.1041,0.08969,0.1291
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CA1&CA2&SMC",4,58,0,0.103,0.102,0.1801
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CA1&CA3&SMC",4,59,0,0.1031,0.1017,0.1804
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CA1&CTX-Ex&SMC",797,52,2.43919252170153e-18,0.125,0.1035,0.2115
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CA1&DG&SMC",4,57,0,0.1029,0.1023,0.1796
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CA1&Endo&Micro",5,121,8.71438295131544e-24,0.1565,0.1329,0.1963
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CA1&Endo&SMC",14,41,1.18479437275039e-28,0.1233,0.1064,0.2067
NA,NA,NA,NA,NA,NA,NA
"CA1&Inh&Micro",4,114,2.4183374709146e-40,0.1519,0.1342,0.1906
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CA1&Inh&SMC",8,34,4.10008593374694e-51,0.1208,0.1082,0.2014
NA,NA,NA,NA,NA,NA,NA
"CA1&LHb&SMC",5,60,1.19179601174417e-220,0.1069,0.1015,0.1862
"CA1&Micro&Oligo",77,127,1.8039323457357e-18,0.1591,0.1996,0.1318
"CA1&Micro&SMC",7,17,2.55670907833536e-09,0.09164,0.1126,0.1524
"CA1&Oligo&SMC",86,47,1.61922082350789e-21,0.1245,0.1048,0.2097
NA,NA,NA,NA,NA,NA,NA
"CA1&OPC&SMC",8,26,3.01915089094984e-39,0.09693,0.1103,0.1631
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CA2&CA3&SMC",4,64,0,0.1019,0.1015,0.1812
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CA2&CTX-Ex&SMC",798,54,6.05902444050915e-20,0.1246,0.104,0.213
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CA2&DG&SMC",4,61,0,0.1018,0.1023,0.1805
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CA2&Endo&Micro",5,123,1.58212462425148e-26,0.1562,0.1339,0.1978
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CA2&Endo&SMC",14,43,1.0415206000156e-31,0.1228,0.1069,0.2081
NA,NA,NA,NA,NA,NA,NA
"CA2&Inh&Micro",4,116,5.88168691325587e-47,0.1516,0.1352,0.192
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CA2&Inh&SMC",8,36,5.28249248962239e-59,0.1203,0.1086,0.2027
NA,NA,NA,NA,NA,NA,NA
"CA2&LHb&SMC",5,65,0,0.1057,0.1013,0.1871
"CA2&Micro&Oligo",75,129,3.05515658337132e-20,0.1588,0.2012,0.1328
"CA2&Micro&SMC",7,19,5.56525250887037e-09,0.09098,0.113,0.1533
"CA2&Oligo&SMC",84,49,1.31048606758857e-23,0.1241,0.1053,0.2112
NA,NA,NA,NA,NA,NA,NA
"CA2&OPC&SMC",8,28,4.92283941818506e-34,0.09633,0.1107,0.1641
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CA3&CTX-Ex&Micro",797,135,6.39622515290414e-18,0.1601,0.1322,0.2036
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CA3&CTX-Ex&SMC",797,55,2.40829489815194e-20,0.1244,0.1041,0.2134
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CA3&DG&SMC",4,62,0,0.1016,0.1024,0.1809
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CA3&Endo&Micro",5,124,1.05721071294461e-27,0.1561,0.1342,0.1983
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CA3&Endo&SMC",14,44,3.87354865754009e-33,0.1226,0.1069,0.2085
NA,NA,NA,NA,NA,NA,NA
"CA3&Inh&Micro",4,117,2.14278707689095e-49,0.1514,0.1355,0.1925
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CA3&Inh&SMC",8,37,1.23531685093736e-61,0.1201,0.1087,0.2031
NA,NA,NA,NA,NA,NA,NA
"CA3&LHb&SMC",5,66,0,0.1055,0.1014,0.1875
"CA3&Micro&Oligo",75,130,5.34232492990193e-21,0.1587,0.2016,0.1331
"CA3&Micro&SMC",7,20,6.35956178976205e-09,0.09066,0.1131,0.1535
"CA3&Oligo&SMC",84,50,2.58268885794532e-24,0.1239,0.1054,0.2116
NA,NA,NA,NA,NA,NA,NA
"CA3&OPC&SMC",8,29,6.66514729938634e-32,0.09603,0.1108,0.1644
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CTX-Ex&DG&SMC",801,53,3.62458101338667e-19,0.1039,0.1248,0.2124
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CTX-Ex&Endo&SMC",1101,40,0,0.1235,0.1276,0.2424
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CTX-Ex&Inh&SMC",1173,33,2.13698875177347e-138,0.121,0.1291,0.2359
"CTX-Ex&LHb&Micro",792,136,1.98317200095063e-27,0.1375,0.1599,0.2106
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CTX-Ex&LHb&SMC",792,56,2.23971085334116e-31,0.1079,0.1242,0.2201
